productNameAmazon,itemURLAmazon,productTypeAmazon,productCategoryAmazon,availabilityAmazon,categoryRankAmazon,priceAmazon,titleEbay,itemURLEbay,locationEbay,shippingCostEbay,conditionEbay,categoryEbay,priceEbay,currencyEbay
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/153680120053,"Dacula,GA,USA",,New,Conference Equipment,17.99,
Cisco CP-8831-K9= Unified IP Conference Phone,https://www.amazon.com/Cisco-CP-8831-K9-Unified-Conference-Phone/dp/B00GG2SZW6,VoIP,Office Products,In Stock.,[],379.99,NEW Cisco 8831 Wireless Microphone Kit for IP Conference Phone CP-8831 (A848410),https://www.ebay.com/itm/NEW-Cisco-8831-Wireless-Microphone-Kit-IP-Conference-Phone-CP-8831-A848410-/383169611472,"Oklahoma City,OK,USA",,New,Conference Equipment,244.11,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,Cisco microphone kit for CP-7937G CP-7937-MIC-KIT 74-5090-01 NIB,https://www.ebay.com/itm/Cisco-microphone-kit-CP-7937G-CP-7937-MIC-KIT-74-5090-01-NIB-/362511451950,USA,,New,Conference Equipment,75.0,
Cisco 7937G Series CP-7937-MIC-KIT= Conference Station External Microphone Kit 2201-40140-001,https://www.amazon.com/CP-7937-MIC-KIT-Conference-External-Microphone-2201-40140-001/dp/B072F7DQRZ,[],[],[],[],,GENUINE NEW CISCO CP-7937-MIC-KIT IP CONFERENCE STATION MICROPHONE KIT FOR B1,https://www.ebay.com/itm/GENUINE-NEW-CISCO-CP-7937-MIC-KIT-IP-CONFERENCE-STATION-MICROPHONE-KIT-B1-/174053684255,"Waldport,OR,USA",,New,Conference Equipment,15.0,
Cisco Telepresence Table Mic 20 - microphone CTS-MIC-TABL20 with Console Cable by Visipax,https://www.amazon.com/Cisco-Telepresence-Table-Mic-CTS-MIC-TABL20/dp/B01M16WIGQ,Audio Conferencing,Office Products,[],[],,Cisco Systems CTS-MIC-TABL20= Telepresence Table Mic 20 (ctsmictabl20=),https://www.ebay.com/itm/Cisco-Systems-CTS-MIC-TABL20-Telepresence-Table-Mic-20-ctsmictabl20-/233215672841,"Jonestown,PA,USA",,New,Conference Equipment,367.19,
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/254387450073,"Staten Island,NY,USA",,New,Conference Equipment,26.99,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone & NEW CISCO 37-0931-01 Cable,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-NEW-CISCO-37-0931-01-Cable-/182271176728,"Petaluma,CA,USA",,New,Conference Equipment,79.0,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,CISCO CP-7937-MIC-KIT FOR CISCO 7937G VOIP PHONE CP-7937-MIC-KIT New,https://www.ebay.com/itm/CISCO-CP-7937-MIC-KIT-CISCO-7937G-VOIP-PHONE-CP-7937-MIC-KIT-New-/202771656948,"Hot Springs National Park,AR,USA",,New,Conference Equipment,45.0,
Cisco CP-7937-MIC-KIT Cisco Microphone Kit For 7937,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Kit-7937/dp/B00DCV3SCQ,[],Office Products,[],[],,CISCO external Table Microphone for audio conferencing,https://www.ebay.com/itm/CISCO-external-Table-Microphone-audio-conferencing-/192527707042,"Chicago,USA",,New,Conference Equipment,149.95,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/222711053270,"North Wales,PA,USA",,New,Conference Equipment,8.0,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/372129857995,"North Wales,PA,USA",,New,Conference Equipment,8.0,
"Cisco 7936 IP Phone Microphone Kit, CP-7936-MIC-KIT",https://www.amazon.com/Cisco-7936-Phone-Microphone-CP-7936-MIC-KIT/dp/B00BNHV2DS,VoIP,Office Products,Only 1 left in stock - order soon.,[],99.81,New Cisco CP-7936-MIC-KIT Microphone Kit,https://www.ebay.com/itm/New-Cisco-CP-7936-MIC-KIT-Microphone-Kit-/173435111535,"Broomfield,CO,USA",,New,Conference Equipment,38.97,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-/272621356422,"Chula Vista,CA,USA",,New,Conference Equipment,29.92,
Cisco CP-7937-MIC-KIT Cisco Microphone Kit For 7937,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Kit-7937/dp/B00DCV3SCQ,[],Office Products,[],[],,(Lot of 3) Cisco Unified 7937G Microphone Kit CP-7937-MIC-KIT - 1 Year Warranty!,https://www.ebay.com/itm/Lot-3-Cisco-Unified-7937G-Microphone-Kit-CP-7937-MIC-KIT-1-Year-Warranty-/333373974681,"Minneapolis,MN,USA",,New,Conference Equipment,125.0,
Cisco CP-7937-MIC-KIT Cisco Microphone Kit For 7937,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Kit-7937/dp/B00DCV3SCQ,[],Office Products,[],[],,NEW Cisco CP-7937-MIC-KIT IP Conference Station Microphone - Fast Shipping!,https://www.ebay.com/itm/NEW-Cisco-CP-7937-MIC-KIT-IP-Conference-Station-Microphone-Fast-Shipping-/283633179112,"Dunnsville,VA,USA",,New,Conference Equipment,39.99,
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/153680120053,"Dacula,GA,USA",,New,Conference Equipment,17.99,
Cisco CP-8831-K9= Unified IP Conference Phone Base and Control Unit,https://www.amazon.com/Cisco-CP-8831-K9-Unified-Conference-Control/dp/B01M3T2ZE5,VoIP,Office Products,$455.54,[],455.54,NEW Cisco 8831 Wireless Microphone Kit for IP Conference Phone CP-8831 (A848410),https://www.ebay.com/itm/NEW-Cisco-8831-Wireless-Microphone-Kit-IP-Conference-Phone-CP-8831-A848410-/383169611472,"Oklahoma City,OK,USA",,New,Conference Equipment,244.11,
Cisco Wired Microphone Kit - microphone (CP-8832-MIC-WIRED=),https://www.amazon.com/Cisco-Wired-Microphone-Kit-CP-8832-MIC-WIRED/dp/B078XF9LHG,[],Musical Instruments,$135.00,"#5,968 in Televisions & Video Products",135.0,Cisco Microphone,https://www.ebay.com/itm/Cisco-Microphone-/292992902662,"Atlanta,GA,USA",,New,Microphones & Wireless Systems,157.89,
Cisco CP-7937-MIC-KIT Cisco Microphone Kit For 7937,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Kit-7937/dp/B00DCV3SCQ,[],Office Products,[],[],,Cisco microphone kit for CP-7937G CP-7937-MIC-KIT 74-5090-01 NIB,https://www.ebay.com/itm/Cisco-microphone-kit-CP-7937G-CP-7937-MIC-KIT-74-5090-01-NIB-/362511451950,USA,,New,Conference Equipment,75.0,
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#161 in Computer Microphones,46.95,GENUINE NEW CISCO CP-7937-MIC-KIT IP CONFERENCE STATION MICROPHONE KIT FOR B1,https://www.ebay.com/itm/GENUINE-NEW-CISCO-CP-7937-MIC-KIT-IP-CONFERENCE-STATION-MICROPHONE-KIT-B1-/174053684255,"Waldport,OR,USA",,New,Conference Equipment,15.0,
Cisco Telepresence Table Mic 20 - microphone CTS-MIC-TABL20 with Console Cable by Visipax,https://www.amazon.com/Cisco-Telepresence-Table-Mic-CTS-MIC-TABL20/dp/B01M16WIGQ,Audio Conferencing,Office Products,[],[],,Cisco Systems CTS-MIC-TABL20= Telepresence Table Mic 20 (ctsmictabl20=),https://www.ebay.com/itm/Cisco-Systems-CTS-MIC-TABL20-Telepresence-Table-Mic-20-ctsmictabl20-/233215672841,"Jonestown,PA,USA",,New,Conference Equipment,367.19,
Cisco Systems CAB-MIC-T20EXT= Mic20 Extention Cable 33ft,https://www.amazon.ae/Cisco-Systems-CAB-MIC-T20EXT-Mic20-Extention/dp/B073RHH821,[],Computers,[],[],,"CISCO Table Microphone CAB-MIC-T20EXT= extension cable, NEW",https://www.ebay.com/itm/CISCO-Table-Microphone-CAB-MIC-T20EXT-extension-cable-NEW-/254387450073,"Staten Island,NY,USA",,New,Conference Equipment,26.99,
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone & NEW CISCO 37-0931-01 Cable,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-NEW-CISCO-37-0931-01-Cable-/182271176728,"Petaluma,CA,USA",,New,Conference Equipment,79.0,
