productNameAmazon,itemURLAmazon,productTypeAmazon,productCategoryAmazon,availabilityAmazon,categoryRankAmazon,priceAmazon,titleEbay,itemURLEbay,locationEbay,shippingCostEbay,conditionEbay,categoryEbay,priceEbay,currencyEbay,margin,amazonPrice,roi
CISCO CP-7936-MIC-KIT= Cisco 7936 IP Phone Microphone Kit CP-7936-MIC-KIT NEW Home ?? CP-7936-MIC-KIT=,https://www.amazon.com/CISCO-CP-7936-MIC-KIT-Cisco-Phone-Microphone/dp/B00BRE2MOK,Laptop Replacement Parts,Electronics,$249.91,[],249.91,Cisco Microphone Kit Pair for the Cisco 7936G IP Conference Station NEW,https://www.ebay.com/itm/Cisco-Microphone-Kit-Pair-Cisco-7936G-IP-Conference-Station-NEW-/323889653385,"Brunswick,OH,USA",,New – Open box,Conference Equipment,20,,229.91,249.91,11.4955
Cisco 7937G Conference Phone Plus Extended Microphone Set (CP-7937G plus CP-7937-MIC-KIT),https://www.amazon.com/Cisco-Conference-Extended-Microphone-CP-7937-MIC-KIT/dp/B072YCLGQG,Audio Conferencing,Office Products,$364.80,[],364.8,CISCO CP-7937-MIC-KIT FOR CISCO 7937G VOIP PHONE CP-7937-MIC-KIT New,https://www.ebay.com/itm/CISCO-CP-7937-MIC-KIT-CISCO-7937G-VOIP-PHONE-CP-7937-MIC-KIT-New-/202771656948,"Hot Springs National Park,AR,USA",,New,Conference Equipment,45,,319.8,364.8,7.10666666666667
"Cisco 7936 IP Phone Microphone Kit, CP-7936-MIC-KIT",https://www.amazon.com/Cisco-7936-Phone-Microphone-CP-7936-MIC-KIT/dp/B00BNHV2DS,VoIP,Office Products,Only 1 left in stock - order soon.,[],99.81,NEW CISCO CP-7936-MIC-KIT 7936 IP EX-MICS-KIT 74-3428-02  2805-07155-603,https://www.ebay.com/itm/NEW-CISCO-CP-7936-MIC-KIT-7936-IP-EX-MICS-KIT-74-3428-02-2805-07155-603-/133205497787,"Weehawken,NJ,USA",,New – Open box,Conference Equipment,15,,84.81,99.81,5.654
Mitel 5320 (50006191),https://www.amazon.com/Mitel-50006191-5320/dp/B00C7MWIBS,PBX Phones & Systems,Office Products,In stock.,[],367.74,NEW - Mitel 50006191 5320 VOIP Dual Mode Display Speaker IP POE Telephone Black,https://www.ebay.com/itm/NEW-Mitel-50006191-5320-VOIP-Dual-Mode-Display-Speaker-IP-POE-Telephone-Black-/303347181667,"Boca Raton,FL,USA",,New – Open box,Phone Switching Systems & PBXs,67.11,,300.63,367.74,4.47966025927582
Mitel ASU II Analog Service Unit 50005105 with Power 50005091,https://www.amazon.com/Mitel-Analog-Service-50005105-50005091/dp/B00TA8BNPE,PBX Phones & Systems,Office Products,Only 5 left in stock - order soon.,[],538.65,NEW SEALED 50005091 Mitel 3300 ASU II AC Power Supply NIB,https://www.ebay.com/itm/NEW-SEALED-50005091-Mitel-3300-ASU-II-AC-Power-Supply-NIB-/113836544615,"Kearneysville,WV,USA",,New,Business Phone Sets & Handsets,99.95,,438.7,538.65,4.38919459729865
Mitel 50005521 Cordless Accessories Module Headset Charger Headset 50005712,https://www.amazon.com/50005521-Cordless-Accessories-Headset-50005712/dp/B07GJ5KN62,[],[],$380.00,[],380,Mitel Cordless Accessories Module NA-DECT Supports Handset & Headset Accessories,https://www.ebay.com/itm/Mitel-Cordless-Accessories-Module-NA-DECT-Supports-Handset-Headset-Accessories-/133188903977,"Renton,WA,USA",,New – Open box,Business Phone Sets & Handsets,75,,305,380,4.06666666666667
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,GENUINE NEW CISCO CP-7937-MIC-KIT IP CONFERENCE STATION MICROPHONE KIT FOR B1,https://www.ebay.com/itm/GENUINE-NEW-CISCO-CP-7937-MIC-KIT-IP-CONFERENCE-STATION-MICROPHONE-KIT-B1-/174053684255,"Waldport,OR,USA",,New,Conference Equipment,15,,31.95,46.95,2.13
Mitel 5330e IP Phone (50006476),https://www.amazon.com/Mitel-5330e-IP-Phone-50006476/dp/B00KXGCU8Q,VoIP,Office Products,Only 9 left in stock - order soon.,[],177,NEW PHONE Mitel 5330 Backlit IP Phone Large Backlit Display FREE FAST SHIPPING,https://www.ebay.com/itm/NEW-PHONE-Mitel-5330-Backlit-IP-Phone-Large-Backlit-Display-FREE-FAST-SHIPPING-/233324572259,"Miami,FL,USA",,New,Business Phone Sets & Handsets,59.77,,117.23,177,1.96135184875356
CISCO CP-7937-MIC-KIT Microphone Kit for 7937,https://www.amazon.com/CISCO-CP-7937-MIC-KIT-Microphone-Kit-7937/dp/B00CM79QPO,Laptop Replacement Parts,Electronics,$184.18,[],184.18,CISCO CP-7937-MIC-KIT MICROPHONE KIT  FOR 7937,https://www.ebay.com/itm/CISCO-CP-7937-MIC-KIT-MICROPHONE-KIT-7937-/123839538597,"Houston,TX,USA",,New – Open box,Conference Equipment,65,,119.18,184.18,1.83353846153846
Cisco CP-7937-MIC-KIT 7937 Series VoIP Phone Microphone Kit,https://www.amazon.com/Cisco-CP-7937-MIC-KIT-7937-Phone-Microphone/dp/B001340J6M,Audio & Video Accessories,Electronics,Only 6 left in stock - order soon.,#154 in Computer Microphones,46.95,Cisco  CP-7937-MIC-KIT          BP,https://www.ebay.com/itm/Cisco-CP-7937-MIC-KIT-BP-/303347264092,"Coal City,IL,USA",,New – Open box,Conference Equipment,19.2,,27.75,46.95,1.4453125
Cisco CTS-MIC 74-4743-05,https://www.amazon.com/Generic-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,Audio & Video Accessories,Electronics,$79.97,[],79.97,Lot of 3 Cisco TelePresence Conference Microphone 74-4743-05 w/ Cable,https://www.ebay.com/itm/Lot-3-Cisco-TelePresence-Conference-Microphone-74-4743-05-w-Cable-/362731161938,"Lawrenceville,GA,USA",,New – Open box,Conference Equipment,38.99,,40.98,79.97,1.05103872787894
Mitel New 50005320 Power Adapter,https://www.amazon.com/Mitel-New-50005320-Power-Adapter/dp/B07R25VTVM,AC Adapters,Electronics,$30.00,[],30,*NEW* Mitel 50005320 Power Adapter,https://www.ebay.com/itm/NEW-Mitel-50005320-Power-Adapter-/233270947886,"Dover,NH,USA",,New – Open box,Business Phone Sets & Handsets,14.99,,15.01,30,1.00133422281521
